Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java,org.apache.commons.collections4,Equator,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.apache.commons.collections4,OrderedMap,10.0,0.0,5.0,5.0,0.0,-1.0
java,org.apache.commons.collections4,Put,3.0,0.0,3.0,3.0,0.0,-1.0
java,org.apache.commons.collections4,MapUtils,4371.0,0.0,94.0,90.0,1.0053763440860215,0.9574468085106383
java,org.apache.commons.collections4,EnumerationUtils,15.0,0.0,6.0,6.0,0.0,1.0
java,org.apache.commons.collections4,ArrayUtils,6.0,0.0,4.0,3.0,0.0,0.75
java,org.apache.commons.collections4,Trie,0.0,0.0,1.0,1.0,0.0,-1.0
java,org.apache.commons.collections4,Get,36.0,0.0,9.0,9.0,0.0,-1.0
java,org.apache.commons.collections4,SetValuedMap,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.apache.commons.collections4,OrderedIterator,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.apache.commons.collections4,ClosureUtils,136.0,0.0,17.0,16.0,0.0,0.9411764705882353
java,org.apache.commons.collections4,Transformer,1.0,0.0,2.0,1.0,0.0,-1.0
java,org.apache.commons.collections4,BoundedMap,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.apache.commons.collections4,CollectionUtils,3601.0,3547.0,69.0,64.0,0.9862745098039215,0.7441860465116279
java,org.apache.commons.collections4,CardinalityHelper,19.0,17.0,5.0,2.0,0.8333333333333334,0.2857142857142857
java,org.apache.commons.collections4,EquatorWrapper,0.0,0.0,1.0,1.0,0.16666666666666666,0.0
java,org.apache.commons.collections4,SetOperationCardinalityHelper,2.0,0.0,1.0,1.0,0.5,0.0
java,org.apache.commons.collections4,KeyValue,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.apache.commons.collections4,Unmodifiable,0.0,0.0,0.0,0.0,0.0,-1.0
java,org.apache.commons.collections4,QueueUtils,15.0,0.0,6.0,6.0,1.0,1.0
java,org.apache.commons.collections4,SplitMapUtils,428.0,295.0,13.0,13.0,0.6818181818181818,0.38235294117647056
java,org.apache.commons.collections4,WrappedGet,42.0,0.0,4.0,4.0,0.2,0.25
java,org.apache.commons.collections4,WrappedPut,90.0,75.0,10.0,10.0,0.6428571428571429,0.6666666666666666
